//コマンド,posX,posY,posZ,番号
POP,  0,0,50,0
POP,  2,0,50,1
POP,  4,0,50,2
POP,  6,0,50,3
POP,  8,0,50,4
POP, 10,0,50,5
POP, 12,0,50,6
POP, 14,0,50,7
POP, 16,0,50,8
POP, 18,0,50,9
POP, 20,0,50,10
POP, 22,0,50,11
POP, 24,0,50,12
POP, 26,0,50,13
POP, 28,0,50,14
POP, 30,0,50,15
POP, 32,0,50,16
POP, 34,0,50,17
POP, 36,0,50,18
POP, -2,0,50,19
POP, -4,6,50,20
POP, -6,6,50,21
POP, -8,6,50,22
POP,-10,6,50,23

POP, 36,2,50,24
POP, 36,4,50,25

POP,-16,0,50,26
POP,-18,0,50,27
POP,-20,0,50,28
POP,-22,0,50,29
POP,-24,0,50,30
POP,-26,0,50,31
POP,-28,0,50,32
POP,-30,0,50,33
POP,-32,0,50,34
POP,-34,0,50,35
POP,-36,0,50,36

POP,-22,2,50,37
POP,-22,4,50,38
POP,-20,2,50,39
POP,-20,4,50,40
POP,-18,2,50,41
POP,-18,4,50,42
POP,-16,2,50,43
POP,-16,4,50,44
